Code	Product label	Exported value in 2013-Q4	Exported value in 2014-Q1	Exported value in 2014-Q2	Exported value in 2014-Q3	Exported value in 2014-Q4	Exported value in 2015-Q1	Exported value in 2015-Q2	Exported value in 2015-Q3	Exported value in 2015-Q4	Exported value in 2016-Q1	Exported value in 2016-Q2	Exported value in 2016-Q3	Exported value in 2016-Q4	Exported value in 2017-Q1	Exported value in 2017-Q2	Exported value in 2017-Q3	Exported value in 2017-Q4	Exported value in 2018-Q1	Exported value in 2018-Q2	Exported value in 2018-Q3	
210320	"Tomato ketchup and other tomato sauces"	19	48	88	17	20	9	88	65	39	49	29	14	29	3	0	4	22	9	21	5	
040490	"Products consisting of natural milk constituents, whether or not sweetened, n.e.s."	0	0	0	363	0	0	0	6	242	245	304	4	0	383	0	0	0	0	38	4	
040110	"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar ..."	0	0	0	0	0	30	30	0	62	50	0	1	17	0	12	31	0	35	27	3	
220850	"Gin and Geneva"	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	4	2	3	
040610	"Fresh cheese "unripened or uncured cheese", incl. whey cheese, and curd"	0	228	0	0	100	0	0	0	0	0	0	0	0	38	43	16	14	15	5	2	
170240	"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
200971	"Apple juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar or ..."	4	12	7	5	15	19	1	1	7	2	4	7	6	2	5	3	4	0	8	2	
220860	"Vodka"	0	2	3	1	6	0	0	0	0	0	0	0	0	0	1	2	3	4	2	2	
040390	"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ..."	0	0	8	2	0	8	41	29	27	34	8	0	0	0	0	0	7	6	3	1	
190520	"Gingerbread and the like, whether or not containing cocoa"	0	0	0	0	0	0	1	0	0	0	5	0	0	18	13	3	9	0	0	1	
220840	"Rum and other spirits obtained by distilling fermented sugar-cane products"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	
020900	"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020910	"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020990	"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
021011	"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	73	0	
021012	"Bellies "streaky" and cuts thereof of swine, salted, in brine, dried or smoked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021019	"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021020	"Meat of bovine animals, salted, in brine, dried or smoked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021090	"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
021099	"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ..."	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
030510	"Flours, meals and pellets of fish, fit for human consumption"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030520	"Fish livers, roes and milt, dried, smoked, salted or in brine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030530	"Fish fillets, dried, salted or in brine, not smoked"	350	565	611	600	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030542	"Smoked herring "Clupea harengus, Clupea pallasii", incl. fillets (excl. offal)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030549	"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, ..."	0	0	2	0	0	11	22	26	27	17	0	14	0	37	27	0	480	0	327	0	
030551	"Dried cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", even salted, not smoked (excl. fillets ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030559	"Fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)"	30	28	52	210	47	14	0	164	14	0	17	0	21	31	33	0	0	0	0	0	
030561	"Herring (Clupea harengus, Clupea pallasii), only salted or in brine (excl. fillets and offal)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030562	"Cod "Gadus morhua, Gadus ogac, Gadus macrocephalus", salted or in brine only (excl. fillets ..."	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
030612	"Frozen lobsters "Homarus spp.", even smoked, whether in shell or not, incl. lobsters in shell, ..."	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
030621	"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", even smoked, ..."	183	0	624	1470	374	15	280	871	1349	232	632	1962	2204	0	0	0	0	0	0	0	
030622	"Lobsters "Homarus spp.", even smoked, whether in shell or not, live, fresh, chilled, dried, ..."	0	0	0	0	0	5	6	0	0	0	0	16	13	0	0	0	0	0	0	0	
030624	"Crabs, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, ..."	924	810	970	606	411	463	261	507	503	564	532	702	252	0	0	0	0	0	0	0	
030625	"Norway lobsters "Nephrops norvegicus", even smoked, whether in shell or not, live, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
030626	"Cold-water shrimps and prawns "Pandalus spp., Crangon crangon", even smoked, whether in shell ..."	0	0	0	0	0	10354	16837	17338	21220	14133	18142	15497	22222	0	0	0	0	0	0	0	
030627	"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ..."	0	0	0	0	0	257	130	0	0	0	36	0	0	0	0	0	0	0	0	0	
030629	"Crustaceans, even smoked, fit for human consumption, whether in shell or not, live, fresh, ..."	114	125	69	62	336	79	337	115	385	208	274	101	266	0	0	0	0	0	0	0	
030634	"Norway lobsters "Nephrops norvegicus", whether in shell or not, live, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030691	"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030692	"Lobsters "Homarus spp.", whether in shell or not, dried, salted, smoked or in brine, incl. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030693	"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030695	"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	8026	7890	10633	12021	8534	206	0	
030699	"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030712	"Oysters, even in shell, frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	
030729	"Scallops and other molluscs of the family Pectinidae, smoked, dried, salted or in brine, even ..."	11	170	319	0	199	0	20	85	360	94	262	0	0	0	0	0	0	2	0	0	
030732	"Mussels "Mytilus spp., Perna spp.", frozen, even in shell"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030739	"Mussels "Mytilus spp., Perna spp.", smoked, dried, salted or in brine, even in shell"	44	102	690	0	0	0	129	86	139	3	0	0	0	0	0	0	0	0	0	0	
030772	"Frozen, even in shell, clams, cockles and ark shells "families Arcidae, Arcticidae, Cardiidae, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030779	"Smoked, dried, salted or in brine, even in shell, clams, cockles and ark shells "families Arcidae, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030822	"Frozen sea urchins "Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	67	60	8	7	22	23	0	
030829	"Smoked, dried, salted or in brine, sea urchins "Strongylocentrotus spp., Paracentrotus lividus, ..."	0	0	0	0	0	249	72	11	20	197	191	86	21	25	50	6	11	8	0	0	
040130	"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar ..."	40	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040140	"Milk and cream of a fat content by weight of > 6% but <= 10%, not concentrated nor containing ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040150	"Milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar ..."	0	0	0	0	0	0	67	0	0	67	0	0	0	0	0	0	0	1	71	0	
040221	"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened"	0	0	0	0	0	0	0	80	0	252	0	0	0	0	0	0	0	0	0	0	
040229	"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened"	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	
040291	"Milk and cream, concentrated but unsweetened (excl. in solid forms)"	32	93	51	0	40	53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
040410	"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ..."	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
040520	"Dairy spreads of a fat content, by weight, of >= 39% but < 80%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040590	"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined ..."	33	54	22	63	14	12	16	0	0	0	1	0	0	0	0	0	0	0	0	0	
040620	"Grated or powdered cheese, of all kinds"	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	
040640	"Blue-veined cheese and other cheese containing veins produced by "Penicillium roqueforti""	0	0	0	0	0	11	11	3	0	5	8	0	7	0	2	1	3	2	5	0	
040700	"Birds' eggs, in shell, fresh, preserved or cooked"	1538	1388	1744	1573	1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040711	"Fertilised eggs for incubation, of domestic fowls"	0	0	0	0	0	168	313	165	12	0	0	0	0	0	0	0	0	22	9	0	
040721	"Fresh eggs of domestic fowls, in shell (excl. fertilised for incubation)"	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	
040729	"Fresh birds' eggs, in shell (excl. of domestic fowls, and fertilised for incubation)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040790	"Birds' eggs, in shell, preserved or cooked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	
040811	"Dried egg yolks, whether or not sweetened"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040819	"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040891	"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	555	157	0	
040899	"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ..."	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	
041000	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
